Country Strategic Objectives,Objetivo estratégico del país,"#| msgid ""Country Strategic Objective""",
Report Name,Nombre del sector,"#| msgid ""Sector Name""",
Most recent {} {},Más reciente,"#| msgid ""Most recent""",#. Translators: Example: Most recent 2 Months
